Date	incrementoMessina
2020-09-15	2
2020-09-16	4
2020-09-17	8
2020-09-18	4
2020-09-19	9
2020-09-20	3
2020-09-21	5
2020-09-22	3
2020-09-23	1
2020-09-24	6
2020-09-25	2
2020-09-26	2
2020-09-27	6
2020-09-28	1
2020-09-29	5
2020-09-30	7
2020-10-01	10
2020-10-02	4
2020-10-03	11
2020-10-04	3
2020-10-05	10
2020-10-06	5
2020-10-07	11
2020-10-08	23
2020-10-09	22
2020-10-10	44
2020-10-11	63
2020-10-12	60
2020-10-13	34
2020-10-14	39
2020-10-15	22
2020-10-16	43
2020-10-17	14
2020-10-18	23
2020-10-19	7
2020-10-20	28
2020-10-21	53
2020-10-22	47
2020-10-23	74
2020-10-24	48
2020-10-25	52
2020-10-26	89
2020-10-27	52
2020-10-28	24
2020-10-29	88
2020-10-30	71
2020-10-31	101
2020-11-01	106
2020-11-02	92
2020-11-03	80
2020-11-04	103
2020-11-05	99
2020-11-06	157
2020-11-07	73
2020-11-08	200
2020-11-09	133
2020-11-10	102
2020-11-11	138
2020-11-12	105
2020-11-13	116
2020-11-14	303
2020-11-15	211
2020-11-16	110
2020-11-17	184
2020-11-18	324
2020-11-19	264
2020-11-20	186
2020-11-21	145
2020-11-22	94
2020-11-23	45
2020-11-24	160
2020-11-25	64
2020-11-26	126
2020-11-27	135
2020-11-28	159
2020-11-29	126
2020-11-30	98
2020-12-01	86
2020-12-02	242
2020-12-03	126
2020-12-04	274
2020-12-05	89
2020-12-06	82
2020-12-07	109
2020-12-08	105
2020-12-09	38
2020-12-10	143
2020-12-11	118
2020-12-12	168
2020-12-13	83
2020-12-14	201
2020-12-15	110
2020-12-16	253
2020-12-17	141
2020-12-18	89
2020-12-19	190
2020-12-20	89
2020-12-21	33
2020-12-22	199
2020-12-23	241
