Date	Sicilia
2020-08-25	24
2020-08-26	33
2020-08-27	50
2020-08-28	54
2020-08-29	29
2020-08-30	34
2020-08-31	26
2020-09-01	33
2020-09-02	83
2020-09-03	54
2020-09-04	78
2020-09-05	114
2020-09-06	37
2020-09-07	49
2020-09-08	84
2020-09-09	77
2020-09-10	106
2020-09-11	104
2020-09-12	44
2020-09-13	61
2020-09-14	65
2020-09-15	77
2020-09-16	90
2020-09-17	96
2020-09-18	179
2020-09-19	98
2020-09-20	116
2020-09-21	75
2020-09-22	108
2020-09-23	89
2020-09-24	125
2020-09-25	107
2020-09-26	110
2020-09-27	107
2020-09-28	102
2020-09-29	163
2020-09-30	170
2020-10-01	156
2020-10-02	140
2020-10-03	182
2020-10-04	85
2020-10-05	128
2020-10-06	198
2020-10-07	213
2020-10-08	259
2020-10-09	233
2020-10-10	285
2020-10-11	297
2020-10-12	298
2020-10-13	334
2020-10-14	366
2020-10-15	399
2020-10-16	578
2020-10-17	475
2020-10-18	548
2020-10-19	362
2020-10-20	574
2020-10-21	562
